run,q_con,q_mod,n,LKL_greedy,LKL_ILP
2,0.1,0.9,5,-7.435,-7.224
2,0.1,0.9,6,-9.948,-9.632
2,0.2,0.1,4,-2.043,-2.043
2,0.2,0.1,5,-3.863,-3.863
2,0.2,0.1,6,-4.403,-4.403
2,0.2,0.2,4,-2.502,-2.502
2,0.2,0.2,5,-4.335,-4.335
2,0.2,0.2,6,-4.781,-4.781
2,0.2,0.3,4,-1.16,-1.16
2,0.2,0.3,5,-1.739,-1.739
2,0.2,0.3,6,-2.319,-2.319
2,0.2,0.4,4,-3.365,-3.365
2,0.2,0.4,5,-5.121,-5.121
2,0.2,0.4,6,-7.646,-7.646
2,0.2,0.5,4,-3.219,-3.219
2,0.2,0.5,5,-4.828,-4.828
2,0.2,0.5,6,-6.438,-5.745
2,0.2,0.6,4,-2.279,-2.279
2,0.2,0.6,5,-3.929,-3.929
2,0.2,0.6,6,-6.455,-6.455
2,0.2,0.7,4,-4.597,-4.241
2,0.2,0.7,5,-6.381,-6.024
2,0.2,0.7,6,-7.808,-7.451
2,0.2,0.8,4,-3.665,-3.665
2,0.2,0.8,5,-5.721,-5.498
2,0.2,0.8,6,-9.386,-9.163
2,0.2,0.9,4,-4.346,-3.43
2,0.2,0.9,5,-6.166,-5.25
2,0.2,0.9,6,-7.881,-6.965
2,0.3,0.1,4,-2.724,-2.724
2,0.3,0.1,5,-4.244,-4.244
2,0.3,0.1,6,-5.022,-5.022
2,0.3,0.2,4,-1.16,-1.16
2,0.3,0.2,5,-3.349,-3.349
2,0.3,0.2,6,-4.999,-4.999
2,0.3,0.3,4,-2.631,-2.631
2,0.3,0.3,5,-3.344,-3.344
2,0.3,0.3,6,-4.548,-4.548
2,0.3,0.4,4,-3.093,-3.093
2,0.3,0.4,5,-3.961,-3.961
2,0.3,0.4,6,-5.744,-5.744
2,0.3,0.5,4,-2.947,-2.947
2,0.3,0.5,5,-5.383,-5.383
2,0.3,0.5,6,-6.433,-6.433
2,0.3,0.6,4,-3.393,-3.393
2,0.3,0.6,5,-5.177,-5.177
2,0.3,0.6,6,-6.45,-6.45
2,0.3,0.7,4,-3.121,-3.121
2,0.3,0.7,5,-4.682,-4.682
2,0.3,0.7,6,-7.803,-7.447
2,0.3,0.8,4,-3.393,-2.854
2,0.3,0.8,5,-4.82,-4.281
2,0.3,0.8,6,-6.786,-5.932
2,0.3,0.9,4,-4.074,-2.619
2,0.3,0.9,5,-5.489,-3.928
2,0.3,0.9,6,-6.903,-5.237
2,0.4,0.1,4,-1.232,-1.232
2,0.4,0.1,5,-2.059,-2.059
2,0.4,0.1,6,-2.886,-2.886
2,0.4,0.2,4,-1.873,-1.873
2,0.4,0.2,5,-3.054,-3.054
2,0.4,0.2,6,-4.234,-4.234
2,0.4,0.3,4,-2.092,-2.092
2,0.4,0.3,5,-4.163,-4.163
2,0.4,0.3,6,-5.387,-5.387
2,0.4,0.4,4,-2.96,-2.96
2,0.4,0.4,5,-4.492,-4.492
2,0.4,0.4,6,-6.43,-6.43
2,0.4,0.5,4,-2.813,-2.813
2,0.4,0.5,5,-5.116,-5.116
2,0.4,0.5,6,-7.706,-7.706
2,0.4,0.6,4,-2.854,-2.854
2,0.4,0.6,5,-4.281,-4.281
2,0.4,0.6,6,-5.708,-5.708
2,0.4,0.7,4,-2.988,-2.546
2,0.4,0.7,5,-4.703,-4.176
2,0.4,0.7,6,-8.383,-7.5
2,0.4,0.8,4,-2.279,-2.279
2,0.4,0.8,5,-3.418,-3.418
2,0.4,0.8,6,-6.39,-6.167
2,0.4,0.9,4,-2.043,-2.043
2,0.4,0.9,5,-3.17,-3.17
2,0.4,0.9,6,-4.192,-4.192
2,0.5,0.1,4,-1.597,-1.597
2,0.5,0.1,5,-2.606,-2.606
2,0.5,0.1,6,-3.615,-3.615
2,0.5,0.2,4,-3.219,-3.219
2,0.5,0.2,5,-4.358,-4.358
2,0.5,0.2,6,-7.107,-7.107
2,0.5,0.3,4,-2.1,-2.1
2,0.5,0.3,5,-3.149,-3.149
2,0.5,0.3,6,-5.047,-5.047
2,0.5,0.4,4,-2.408,-2.408
2,0.5,0.4,5,-4.017,-4.017
2,0.5,0.4,6,-5.221,-5.221
2,0.5,0.5,4,-3.466,-3.466
2,0.5,0.5,5,-6.238,-6.238
2,0.5,0.5,6,-9.011,-9.011
2,0.5,0.6,4,-3.219,-2.813
2,0.5,0.6,5,-5.339,-4.528
2,0.5,0.6,6,-7.459,-6.648
2,0.5,0.7,4,-2.947,-2.456
2,0.5,0.7,5,-3.997,-3.506
2,0.5,0.7,6,-5.047,-4.556
2,0.5,0.8,4,-3.442,-3.442
2,0.5,0.8,5,-2.749,-2.749
2,0.5,0.8,6,-3.665,-3.665
2,0.5,0.9,4,-1.597,-1.597
2,0.5,0.9,5,-2.501,-2.501
2,0.5,0.9,6,-3.299,-3.299
2,0.6,0.1,4,-2.149,-2.149
2,0.6,0.1,5,-3.276,-3.276
2,0.6,0.1,6,-3.997,-3.997
2,0.6,0.2,4,-1.873,-1.873
2,0.6,0.2,5,-3.236,-3.236
2,0.6,0.2,6,-4.193,-4.193
2,0.6,0.3,4,-2.14,-2.14
2,0.6,0.3,5,-3.77,-3.77
2,0.6,0.3,6,-5.708,-5.708
2,0.6,0.4,4,-2.449,-2.449
2,0.6,0.4,5,-3.876,-3.876
2,0.6,0.4,6,-6.43,-6.43
2,0.6,0.5,4,-3.507,-3.101
2,0.6,0.5,5,-5.404,-4.998
2,0.6,0.5,6,-7.706,-7.301
2,0.6,0.6,4,-3.365,-3.365
2,0.6,0.6,5,-4.387,-4.387
2,0.6,0.6,6,-7.646,-6.835
2,0.6,0.7,4,-2.939,-2.939
2,0.6,0.7,5,-5.01,-5.01
2,0.6,0.7,6,-5.878,-5.878
2,0.6,0.8,4,-1.468,-1.468
2,0.6,0.8,5,-3.811,-3.811
2,0.6,0.8,6,-4.545,-4.545
2,0.6,0.9,4,-1.338,-1.338
2,0.6,0.9,5,-1.954,-1.954
2,0.6,0.9,6,-2.57,-2.57
2,0.7,0.1,4,-1.029,-1.029
2,0.7,0.1,5,-2.549,-2.549
